Station,Time,Name,Epoch,Sample ID,Weight [g],Age,Age for Analysis [years]
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1F2,0.275,20,20
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1F3,0.337,20,20
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1F4,0.285,13,13
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1F5,0.242,9,9
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1F6,0.207,9,9
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1F7,0.227,10,10
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T1F8,0.236,18,18
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2A1,0.237,10,10
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2A2,0.273,17,17
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2A3,0.181,7,7
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2A4,0.303,20,20
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2A5,0.29,18,18
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2A6,0.456,25,25
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2A7,0.343,10,10
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2A8,0.257,10,10
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2B1,0.166,3,3
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2B2,0.345,25,25
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2B3,0.249,22,22
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2B4,0.213,6,6
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2B5,0.323,12,12
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2B6,0.397,22,22
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2B7,0.265,19,19
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2B8,0.292,18,18
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2C1,0.408,20,20
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2C2,0.165,5,5
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2C3,0.266,18,18
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2C4,0.312,20,20
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2C5,0.306,15,15
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2C6,0.382,27,27
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2C7,0.296,14,14
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2C8,0.361,13,13
Doubtless Bay,Modern,Doubtless Bay Modern,Northland Doubtless Bay 21st Century,T2D1,0.355,13,13
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3C5,0.203,12,12
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3C7,0.287,12,12
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3C8,0.351,25,25
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3D1,0.338,20,20
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3D2,0.186,5,5
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3D3,0.216,6,6
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3D4,0.223,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3D5,0.175,8,8
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3D6,0.275,14,14
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3D7,0.208,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3D8,0.207,16,16
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3E1,0.145,6,6
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3E2,0.185,6,6
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3E4,0.167,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3E6,0.15,6,6
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3E7,0.172,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3E8,0.187,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3F1,0.24,12,12
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3F2,0.201,13,13
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3F3,0.173,6,6
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3F4,0.341,12,12
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3F5,0.205,8,8
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3F6,0.207,10,10
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3F7,0.266,10,10
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T3F8,0.226,9,9
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4A1,0.283,11,11
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4A2,0.17,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4A3,0.17,6,6
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4A4,0.22,8,8
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4A5,0.185,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4A6,0.159,6,6
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4A7,0.218,18,18
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4A8,0.226,15,15
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4B1,0.217,10,10
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4B2,0.219,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4B3,0.152,6,6
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4B4,0.181,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T4B5,0.304,9,9
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7A1,0.268,12,12
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7A2,0.279,16,16
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7A3,0.193,8,8
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7A4,0.269,14,14
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7A5,0.23,17,17
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7A6,0.174,8,8
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7A7,0.188,13,13
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7A8,0.18,10,10
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7B1,0.168,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7B2,0.23,12,12
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7B3,0.148,8,8
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7B4,0.155,7,7
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7B5,0.297,9,9
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7B6,0.213,9,9
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7B7,0.215,21,21
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7B8,0.163,9,9
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7C1,0.153,8,8
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7C2,0.161,8,8
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7C3,0.207,10,10
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7C4,0.258,11,11
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7C5,0.254,14,14
Hauraki Gulf,Modern,Hauraki Gulf Modern,Hauraki Gulf 21st Century,T7C6,0.262,12,12
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3A1,0.083,1,1
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3A2,0.087,1,1
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3A3,0.087,2,2
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3A4,0.096,2,2
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3A5,0.12,2,2
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3A6,0.102,2,2
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3A7,0.126,3,3
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3A8,0.112,3,3
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3B1,0.14,5,5
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3B2,0.16,5,5
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3B3,0.183,5,5
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3B4,0.213,6,6
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3B5,0.221,6,6
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3B6,0.21,5,5
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3B7,0.289,12,12
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3B8,0.43,25+,25
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3C1,0.377,20+,20
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3C2,0.38,12,12
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3C3,0.399,20+,20
Hauraki Gulf,1975,Hauraki Gulf 1975,Hauraki Gulf MPI collection 20th Century,T3C4,0.431,26+,26
Hauraki Gulf,1,Long Bay early occupation,Hauraki Gulf Long Bay 15th Century,T5A1,0.144,17+,17
Hauraki Gulf,1,Long Bay early occupation,Hauraki Gulf Long Bay 15th Century,T5A2,0.176,13+,13
Hauraki Gulf,1,Long Bay early occupation,Hauraki Gulf Long Bay 15th Century,T5A3,0.306,4,4
Hauraki Gulf,1,Long Bay early occupation,Hauraki Gulf Long Bay 15th Century,T5A4,0.318,16+,16
Hauraki Gulf,1,Long Bay early occupation,Hauraki Gulf Long Bay 15th Century,T5A5,0.261,18,18
Hauraki Gulf,1,Long Bay early occupation,Hauraki Gulf Long Bay 15th Century,T5A6,0.251,11,11
Hauraki Gulf,1,Long Bay early occupation,Hauraki Gulf Long Bay 15th Century,T5A7,0.208,18,18
Hauraki Gulf,1,Long Bay early occupation,Hauraki Gulf Long Bay 15th Century,T5A8,0.12,5+,5
Hauraki Gulf,1,Long Bay early occupation,Hauraki Gulf Long Bay 15th Century,T5B1,0.132,3,3
Hauraki Gulf,1,Long Bay early occupation,Hauraki Gulf Long Bay 15th Century,T5B2,0.481,5,5
Hauraki Gulf,4,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5B3,0.214,28+,28
Hauraki Gulf,4,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5B4,0.093,13+,13
Hauraki Gulf,4,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5B5,0.24,1,1
Hauraki Gulf,4,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5B6,0.17,11+,11
Hauraki Gulf,4,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5B7,0.266,4,4
Hauraki Gulf,4,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5B8,0.254,10+,10
Hauraki Gulf,4,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5C1,0.157,13+,13
Hauraki Gulf,4,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5C2,0.382,4,4
Hauraki Gulf,4,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5C3,0.175,25+,25
Hauraki Gulf,4,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5C4,0.151,8,8
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5C5,0.118,5,5
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5C6,0.175,3,3
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5C7,0.104,10+,10
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5C8,0.123,3,3
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5D1,0.407,3,3
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5D2,0.192,25+,25
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5D3,0.155,8,8
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5D4,0.099,7,7
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5D5,0.092,2,2
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5D6,0.609,2,2
Hauraki Gulf,5,Long Bay mid occupation,Hauraki Gulf Long Bay 15th Century,T5D7,0.05,50,50
Hauraki Gulf,7,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5D8,0.243,<1,1
Hauraki Gulf,7,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5E1,0.174,10,10
Hauraki Gulf,7,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5E2,0.073,18+,18
Hauraki Gulf,7,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5E3,0.174,1,1
Hauraki Gulf,10,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5E5,0.335,8,8
Hauraki Gulf,10,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5E6,0.225,20+,20
Hauraki Gulf,10,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5E7,0.324,10,10
Hauraki Gulf,10,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5E8,0.406,13+,13
Hauraki Gulf,10,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5F1,0.173,30+,30
Hauraki Gulf,10,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5F2,0.25,good pic,
Hauraki Gulf,10,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5F3,0.351,10,10
Hauraki Gulf,10,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5F4,0.218,20+,20
Hauraki Gulf,10,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5F5,0.284,10,10
Hauraki Gulf,10,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T5F6,,19,19
Hauraki Gulf,7,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T6A1,,25+,25
Hauraki Gulf,7,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T6A2,,13+,13
Hauraki Gulf,7,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T6A3,,19+,19
Hauraki Gulf,7,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T6A4,,18+,18
Hauraki Gulf,7,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T6A5,,11,11
Hauraki Gulf,7,Long Bay late occupation,Hauraki Gulf Long Bay 15th Century,T6A6,,7,7
Tauranga Bay,14th Century,,Northland Tauranga Bay 13th - 14th Century,A1,0.626,18+,18
Tauranga Bay,14th Century,,Northland Tauranga Bay 13th - 14th Century,A2,0.654,25+,25
Tauranga Bay,14th Century,,Northland Tauranga Bay 13th - 14th Century,A3,0.538,28+,28
Tauranga Bay,14th Century,,Northland Tauranga Bay 13th - 14th Century,A4,0.4716,21+,21
Tauranga Bay,14th Century,,Northland Tauranga Bay 13th - 14th Century,A5,0.334,14-15,15
Tauranga Bay,14th Century,,Northland Tauranga Bay 13th - 14th Century,E1,0.537,50,50
Tauranga Bay,14th Century,,Northland Tauranga Bay 13th - 14th Century,E2,0.376,25+,25
Tauranga Bay,14th Century,,Northland Tauranga Bay 13th - 14th Century,E3,0.443,30+,30
Tauranga Bay,14th Century,,Northland Tauranga Bay 13th - 14th Century,E4,0.341,13,13
Tauranga Bay,14th Century,,Northland Tauranga Bay 13th - 14th Century,E5,0.415,36+,36
Hauraki Gulf,14th Century,Otata Occupation 1,Hauraki Gulf Otata Island 14th Century,C5,0.1135,8,8
Hauraki Gulf,14th Century,Otata Occupation 1,Hauraki Gulf Otata Island 14th Century,C6,0.1381,10,10
Hauraki Gulf,14th Century,Otata Occupation 1,Hauraki Gulf Otata Island 14th Century,C7,0.366,38+,38
Hauraki Gulf,14th Century,Otata Occupation 1,Hauraki Gulf Otata Island 14th Century,C8,0.126,10+,10
Hauraki Gulf,14th Century,Otata Occupation 1,Hauraki Gulf Otata Island 14th Century,D1,0.23,13+,13
Hauraki Gulf,15th century,Otata Occupation 3,Hauraki Gulf Otata Island 15th Century,B3,0.418,35+,35
Hauraki Gulf,15th century,Otata Occupation 3,Hauraki Gulf Otata Island 15th Century,B4,0.218,15,15
Hauraki Gulf,15th century,Otata Occupation 3,Hauraki Gulf Otata Island 15th Century,B5,0.166,9,9
Hauraki Gulf,15th century,Otata Occupation 3,Hauraki Gulf Otata Island 15th Century,B6,0.104,6,6
Hauraki Gulf,15th century,Otata Occupation 3,Hauraki Gulf Otata Island 15th Century,B7,0.111 (broken),8,8
Hauraki Gulf,17th–18th centuries,Otata Occupation 5,Hauraki Gulf Otata Island 17th – 18th Century,A6,0.486,28+,28
Hauraki Gulf,17th–18th centuries,Otata Occupation 5,Hauraki Gulf Otata Island 17th – 18th Century,A7,0.295,12+,12
Hauraki Gulf,17th–18th centuries,Otata Occupation 5,Hauraki Gulf Otata Island 17th – 18th Century,A8,0.376,21+,21
Hauraki Gulf,17th–18th centuries,Otata Occupation 5,Hauraki Gulf Otata Island 17th – 18th Century,B1,0.464,22+,22
Hauraki Gulf,17th–18th centuries,Otata Occupation 5,Hauraki Gulf Otata Island 17th – 18th Century,B2,0.341,30+,30
